"Date","Price","Open","High","Low","Vol.","Change %"
"05/18/2020","13,500","17,700","17,700","13,400","2.50K","-13.46%"
"05/15/2020","15,600","15,600","15,600","15,600","1.00K","13.04%"
"05/12/2020","13,800","12,300","13,800","12,300","3.60K","6.15%"
"05/11/2020","13,000","13,000","13,000","13,000","4.30K","0.00%"
"05/08/2020","13,000","13,000","13,000","13,000","2.80K","-9.72%"
"05/07/2020","14,400","14,400","14,400","14,400","2.10K","-10.56%"
"05/05/2020","16,100","16,900","16,900","16,100","1.70K","24.81%"
"05/04/2020","12,900","17,200","17,200","12,900","5.30K","-14.57%"
"04/29/2020","15,100","15,100","15,100","15,100","1.00K","2.03%"
"04/27/2020","14,800","14,800","14,800","14,800","0.30K","13.85%"
"04/24/2020","13,000","13,000","13,000","13,000","0.20K","-13.91%"
"04/22/2020","15,100","13,000","15,500","13,000","5.20K","20.80%"
"04/21/2020","12,500","14,900","14,900","12,500","3.30K","-6.02%"
"04/17/2020","13,300","13,000","13,300","12,900","50.10K","-3.62%"
"04/16/2020","13,800","14,800","14,800","12,000","1.70K","3.76%"
"04/15/2020","13,300","13,300","13,300","13,200","111.10K","14.66%"
"04/09/2020","11,600","11,600","11,600","11,600","1.00K","13.73%"
"04/08/2020","10,200","10,200","10,200","10,200","0.40K","14.61%"
"04/07/2020","8,900","8,900","8,900","8,900","0.10K","-4.30%"
"04/03/2020","9,300","7,600","9,300","7,600","1.60K","14.81%"
"04/01/2020","8,100","8,100","8,100","8,100","0.10K","14.08%"
"03/30/2020","7,100","7,100","7,100","7,100","1.70K","-5.33%"
"03/27/2020","7,500","7,500","7,500","7,500","2.50K","-12.79%"
"03/24/2020","8,600","8,600","8,600","8,600","2.60K","-4.44%"
"03/23/2020","9,000","9,000","9,000","9,000","0.50K","1.12%"
"03/20/2020","8,900","8,900","8,900","8,900","1.10K","1.14%"
"03/19/2020","8,800","9,800","9,800","8,800","2.30K","1.15%"
"03/18/2020","8,700","8,700","8,700","8,700","0.40K","-7.45%"
"03/17/2020","9,400","7,500","9,400","7,500","3.00K","8.05%"
"03/16/2020","8,700","8,700","8,700","8,700","1.90K","-3.33%"
"03/12/2020","9,000","9,300","9,300","9,000","1.60K","-10.00%"
"03/10/2020","10,000","8,000","10,000","8,000","4.00K","14.94%"
"03/09/2020","8,700","8,700","8,700","8,700","3.00K","-9.38%"
"03/05/2020","9,600","10,200","10,200","9,600","1.70K","-7.69%"
"03/04/2020","10,400","10,500","10,500","10,400","0.30K","-1.89%"
"03/03/2020","10,600","10,400","10,600","10,400","1.80K","3.92%"
"02/26/2020","10,200","10,200","10,200","10,200","0.10K","-6.42%"
"02/18/2020","10,900","10,900","10,900","10,900","0.10K","0.00%"
"02/13/2020","10,900","10,900","10,900","10,900","0.11K","0.00%"
"02/12/2020","10,900","10,900","10,900","10,900","1.30K","0.93%"
"02/10/2020","10,800","10,800","10,800","10,800","0.50K","0.93%"
"02/07/2020","10,700","10,700","10,700","10,700","0.80K","0.00%"
"02/05/2020","10,700","10,300","10,700","10,300","0.80K","11.46%"
"02/03/2020","9,600","9,600","9,600","9,600","1.80K","-4.95%"
"01/31/2020","10,100","10,000","10,100","10,000","1.30K","-11.40%"
"01/30/2020","11,400","11,400","11,400","11,400","0.50K","3.64%"
"01/22/2020","11,000","11,000","11,000","11,000","0.50K","2.80%"
"01/17/2020","10,700","10,700","10,700","10,700","1.50K","-3.60%"
"01/14/2020","11,100","11,100","11,100","11,100","0.10K","0.00%"
"01/13/2020","11,100","11,100","11,100","11,100","0.40K","3.74%"
"01/10/2020","10,700","10,700","10,700","10,700","0.20K","-0.93%"
"01/09/2020","10,800","10,800","10,800","10,800","0.70K","0.00%"
"01/08/2020","10,800","10,800","10,800","10,800","1.00K","-1.82%"
"01/07/2020","11,000","11,000","11,000","11,000","0.20K","0.92%"
"01/06/2020","10,900","10,900","10,900","10,900","2.10K","0.93%"
"01/03/2020","10,800","11,100","11,100","10,800","2.10K","0.00%"
"01/02/2020","10,800","10,700","10,800","10,700","0.90K","-0.92%"
"12/30/2019","10,900","10,900","10,900","10,900","0.10K","1.87%"
"12/27/2019","10,700","10,700","10,700","10,700","1.30K","-0.93%"
"12/26/2019","10,800","10,800","10,800","10,800","1.50K","-1.82%"
"12/25/2019","11,000","11,000","11,000","11,000","0.20K","-0.90%"
"12/23/2019","11,100","11,100","11,100","11,100","1.20K","2.78%"
"12/20/2019","10,800","10,800","10,800","10,800","0.70K","-0.92%"
"12/19/2019","10,900","10,900","10,900","10,900","1.00K","-0.91%"
"12/18/2019","11,000","11,100","11,100","11,000","1.70K","1.85%"
"12/17/2019","10,800","10,800","10,800","10,800","0.70K","1.89%"
"12/16/2019","10,600","10,700","10,800","10,600","3.80K","-3.64%"
"12/13/2019","11,000","10,700","11,000","10,700","1.10K","-3.51%"
"12/11/2019","11,400","11,400","11,400","11,400","2.20K","6.54%"
"12/10/2019","10,700","10,700","10,700","10,700","0.10K","-6.96%"
"12/09/2019","11,500","11,500","11,500","11,500","1.20K","4.55%"
"12/06/2019","11,000","11,000","11,000","11,000","0.10K","-5.17%"
"12/02/2019","11,600","11,600","11,600","11,600","1.80K","6.42%"
"11/29/2019","10,900","10,900","10,900","10,900","1.20K","0.00%"
"11/27/2019","10,900","10,900","10,900","10,900","0.20K","1.87%"
"11/26/2019","10,700","10,700","10,700","10,700","0.30K","0.00%"
"11/22/2019","10,700","10,700","10,700","10,700","0.10K","0.94%"
"11/21/2019","10,600","10,600","10,600","10,600","0.10K","-1.85%"
"11/14/2019","10,800","11,100","11,100","10,800","2.10K","0.93%"
"11/12/2019","10,700","10,700","10,700","10,700","0.20K","0.00%"
"11/11/2019","10,700","10,700","10,700","10,700","0.20K","0.00%"
"11/08/2019","10,700","11,300","11,300","10,700","4.20K","-2.73%"
"11/07/2019","11,000","11,200","11,200","10,300","7.20K","-6.78%"
"11/04/2019","11,800","11,700","11,800","11,700","3.10K","8.26%"
"11/01/2019","10,900","10,900","11,000","10,900","7.90K","-5.22%"
"10/31/2019","11,500","12,400","12,400","11,500","0.90K","6.48%"
"10/30/2019","10,800","12,100","12,100","10,800","2.30K","-6.09%"
"10/29/2019","11,500","11,500","11,500","11,500","0.10K","-6.50%"
"10/25/2019","12,300","12,300","12,300","12,300","2.40K","11.82%"
"10/21/2019","11,000","10,700","11,400","10,700","3.00K","0.00%"
"10/18/2019","11,000","11,000","11,000","11,000","8.00K","-0.90%"
"10/17/2019","11,100","11,400","11,500","11,100","2.00K","0.91%"
"10/16/2019","11,000","12,400","12,400","11,000","2.50K","-3.51%"
"10/14/2019","11,400","11,400","11,400","11,400","2.50K","3.64%"
"10/11/2019","11,000","10,900","11,000","10,600","8.10K","0.92%"
"10/10/2019","10,900","10,800","10,900","10,800","3.40K","0.93%"
"10/09/2019","10,800","10,800","10,800","10,600","9.10K","0.00%"
"10/08/2019","10,800","10,400","10,800","10,400","2.60K","-0.92%"
"10/07/2019","10,900","10,900","10,900","10,900","1.30K","0.93%"
"10/04/2019","10,800","11,500","11,500","10,800","1.30K","0.00%"
"10/02/2019","10,800","10,700","10,800","10,700","1.90K","0.93%"
