Date,Price,Open,High,Low,Vol.,Change %
21/01/2016,"21,229","21,283","21,552","21,067",1.13M,-1.50%
22/01/2016,"21,337","21,552","21,606","20,798",1.34M,0.51%
25/01/2016,"22,468","21,552","22,576","21,552",2.36M,5.30%
26/01/2016,"21,876","21,822","22,253","21,714",1.13M,-2.63%
27/01/2016,"21,822","22,253","22,253","21,822",1.00M,-0.25%
28/01/2016,"21,822","21,714","21,983","21,714",968.39K,0.00%
29/01/2016,"22,307","21,822","22,307","21,714",1.76M,2.22%
01/02/2016,"21,930","22,307","22,361","21,930",384.69K,-1.69%
02/02/2016,"21,768","21,768","21,983","21,714",1.04M,-0.74%
03/02/2016,"21,337","21,552","21,552","21,175",1.38M,-1.98%
04/02/2016,"21,552","21,552","21,876","21,552",493.96K,1.01%
05/02/2016,"21,606","21,337","21,768","21,337",462.17K,0.25%
15/02/2016,"21,714","21,445","21,876","21,229",1.38M,0.50%
16/02/2016,"21,714","21,606","21,983","21,606",671.90K,0.00%
17/02/2016,"21,445","21,714","21,876","21,445",1.43M,-1.24%
18/02/2016,"21,714","21,552","22,037","21,499",1.27M,1.25%
19/02/2016,"21,606","21,876","21,876","21,606",815.94K,-0.50%
22/02/2016,"21,768","21,606","21,822","21,552",1.13M,0.75%
23/02/2016,"22,091","21,930","22,415","21,930",1.95M,1.48%
24/02/2016,"22,792","22,091","23,169","21,930",2.85M,3.17%
25/02/2016,"22,522","22,899","23,169","22,415",2.13M,-1.18%
26/02/2016,"22,630","22,630","22,630","22,253",849.52K,0.48%
